title_lemmatized,description_lemmatized,content_lemmatized
"['exclusive', 'what', 'ha', 'hhs', 'withheld', 'on', 'covid', 'vax', 'sen', 'ron', 'johnson', 'is', 'about', 'to', 'find', 'out']","['a', 'new', 'letter', 'from', 'sen', 'ron', 'johnson', 'rwis', 'put', 'federal', 'health', 'agency', 'on', 'notice', 'that', 'he', 'plan', 'to', 'subpoena', 'unredacted', 'record', 'withheld', 'by', 'the', 'biden', 'administration', 'on', 'potential', 'adverse', 'effect', 'of', 'the', 'covid', 'vaccine', 'it', 'appears', 'that', 'even', 'in', 'the', 'waning', 'day']","['skip', 'to', 'comment', 'exclusive', 'what', 'ha', 'hhs', 'withheld', 'on', 'covid', 'vax', 'sen', 'ron', 'johnson', 'is', 'about', 'to', 'find', 'outdaily', 'signal', 'december', 'fred', 'lucas', 'posted', 'on', 'pm', 'pst', 'by', 'char']"
"['factor', 'associated', 'with', 'the', 'uptake', 'and', 'utilisation', 'of', 'diabetic', 'retinopathy', 'screening', 'service', 'in', 'subsaharan', 'africa', 'a', 'scoping', 'review']","['introduction', 'diabetic', 'retinopathy', 'dr', 'is', 'a', 'microvascular', 'complication', 'of', 'chronic', 'diabetes', 'that', 'can', 'lead', 'to', 'visual', 'impairment', 'if', 'left', 'untreated', 'while', 'concerted', 'effort', 'have', 'been', 'made', 'to', 'develop', 'screening', 'modality', 'to', 'facilitate', 'the', 'early', 'detection', 'of', 'diabet']","['citation', 'nwaoha', 'io', 'balibuno', 'aa', 'ibrahim', 'n', 'factor', 'associated', 'with', 'the', 'uptake', 'and', 'utilisation', 'of', 'diabetic', 'retinopathy', 'screening', 'service', 'in', 'subsaharan', 'africa', 'a', 'scoping', 'review', 'plo', 'one', 'char']"
"['sam', 'thursfield', 'status', 'update']","['it', 'been', 'an', 'interesting', 'and', 'cold', 'month', 'so', 'far', 'i', 'made', 'a', 'successful', 'trip', 'to', 'the', 'uk', 'one', 'of', 'the', 'first', 'time', 'ive', 'been', 'back', 'in', 'winter', 'and', 'avoided', 'being', 'exposed', 'to', 'covid', 'since', 'the', 'pandemic', 'so', 'thats', 'a', 'step', 'forward', 'ive', 'been', 'thinking', 'a', 'lot', 'about', 'documenta']","['it', 'been', 'an', 'interesting', 'and', 'cold', 'month', 'so', 'far', 'i', 'made', 'a', 'successful', 'trip', 'to', 'the', 'uk', 'one', 'of', 'the', 'first', 'time', 'ive', 'been', 'back', 'in', 'winter', 'and', 'avoided', 'being', 'exposed', 'to', 'covid', 'since', 'the', 'pandemic', 'so', 'thats', 'a', 'char']"
"['new', 'phsvp', 'collaborative', 'cohort', 'of', 'cohort', 'for', 'covid', 'research', 'cr', 'jackson', 'heart', 'study', 'jhs']","['collaborative', 'cohort', 'of', 'cohort', 'for', 'covid', 'research', 'cr', 'jackson', 'heart', 'study', 'jhs', 'study', 'page', 'release', 'note']","['adverse', 'effect', 'of', 'the', 'coronavirus', 'disease', 'covid', 'pandemic', 'on', 'u', 'society', 'health', 'and', 'economy', 'are', 'widespread', 'the', 'collaborative', 'cohort', 'of', 'cohort', 'for', 'covid', 'research', 'cr', 'aim', 'to', 'advance', 'o', 'char']"
"['biden', 'regime', 'quietly', 'extends', 'covid', 'emergency', 'declaration', 'to', 'shield', 'big', 'pharma', 'and', 'mrna', 'vaccine', 'maker', 'from', 'liability', 'until']","['the', 'biden', 'administration', 'ha', 'quietly', 'extended', 'a', 'controversial', 'emergency', 'declaration', 'under', 'the', 'public', 'readiness', 'and', 'emergency', 'preparedness', 'prep', 'act', 'until', 'december', 'secretary', 'becerra', 'signed', 'the', 'th', 'amendment', 'to', 'the', 'declaration', 'under', 'the', 'prep', 'act']","['skip', 'to', 'comment', 'biden', 'regime', 'quietly', 'extends', 'covid', 'emergency', 'declaration', 'to', 'shield', 'big', 'pharma', 'and', 'mrna', 'vaccine', 'maker', 'from', 'liability', 'until', 'aspr', 'posted', 'on', 'char']"
"['how', 'to', 'hack', 'plant', 'protein', 'for', 'muscle', 'building', 'how', 'little', 'can', 'you', 'train', 'to', 'maintain', 'muscle', 'a', 'sauna', 'strategy', 'the', 'best', 'time', 'to', 'take', 'melatonin', 'more', 'solosode']","['listen', 'on', 'reading', 'time', 'minute', 'what', 'i', 'discus', 'the', 'rebranding', 'of', 'my', 'podcast', 'to', 'the', 'boundless', 'life', 'podcast', 'my', 'the', 'post', 'how', 'to', 'hack', 'plant', 'protein', 'for', 'muscle', 'building', 'how', 'little', 'can', 'you', 'train', 'to', 'maintain', 'muscle', 'a', 'sauna', 'strategy', 'the', 'best', 'time', 'to', 'take']","['ben', 'greenfield', 'in', 'this', 'episode', 'of', 'the', 'boundless', 'life', 'podcast', 'how', 'to', 'hack', 'plant', 'protein', 'for', 'muscle', 'building', 'how', 'little', 'can', 'you', 'train', 'to', 'maintain', 'muscle', 'and', 'a', 'cool', 'sauna', 'strategy', 'the', 'be', 'char']"
"['time', 'of', 'crisis', 'ideology', 'and', 'party', 'system', 'transformation', 'in', 'spain']","['campolongo', 'francesco', 'and', 'olivas', 'osuna', 'jos', 'javier', 'orcid', 'time', 'of', 'crisis', 'ideology', 'and', 'party', 'system', 'transformation', 'in', 'spain', 'partecipazione', 'e', 'conflitto', 'issn']","['campolongo', 'francesco', 'and', 'olivas', 'osuna', 'jos', 'javierorcid', 'time', 'of', 'crisis', 'ideology', 'and', 'party', 'system', 'transformation', 'in', 'spain', 'partecipazione', 'e', 'conflitto', 'issn', 'char']"
"['computer', 'programmer', 'quit', 'after', 'his', 'company', 'tried', 'to', 'force', 'him', 'to', 'work', 'from', 'the', 'office', 'rather', 'than', 'home', 'so', 'when', 'the', 'ceo', 'asked', 'him', 'to', 'come', 'back', 'he', 'had', 'some', 'serious', 'demand']","['he', 'must', 'have', 'been', 'a', 'top', 'tier', 'programmer']","['the', 'covid', 'pandemic', 'caused', 'many', 'serious', 'problem', 'but', 'for', 'many', 'people', 'it', 'also', 'made', 'them', 'realize', 'that', 'working', 'from', 'home', 'wa', 'wonderful', 'what', 'would', 'you', 'do', 'if', 'your', 'bos', 'tried', 'to', 'make', 'you', 'return', 'to', 'the', 'o', 'char']"
"['mother', 'injured', 'in', 'covid', 'vaccine', 'trial', 'on', 'a', 'mission', 'to', 'help', 'others', 'amid', 'historic', 'court', 'case']","['it', 'really', 'spiraled', 'into', 'a', 'long', 'arduous', 'journey', 'of', 'learning', 'what', 'happens', 'when', 'big', 'corporate', 'interest', 'overtake', 'the', 'need', 'of', 'an', 'individual', 'said', 'brianne', 'dressen', 'she', 'struggled', 'to', 'survive', 'a', 'covid', 'vaccine', 'clinical', 'trial', 'but', 'brianne', 'dressens', 'story', 'led', 'to', 'a']","['skip', 'to', 'comment', 'mother', 'injured', 'in', 'covid', 'vaccine', 'trial', 'on', 'a', 'mission', 'to', 'help', 'others', 'amid', 'historic', 'court', 'casealpha', 'news', 'december', 'liz', 'collin', 'posted', 'on', 'am', 'pst', 'by', 'char']"
"['raspberry', 'pi', 'review', 'the', 'keyboard', 'is', 'the', 'computer', 'again']","['it', 'may', 'look', 'like', 'the', 'raspberry', 'pi', 'but', 'this', 'pi', 'crams', 'an', 'gb', 'raspberry', 'pi', 'into', 'a', 'keyboard', 'and', 'it', 'ha', 'great', 'thermal']","['when', 'the', 'raspberry', 'pi', 'wa', 'released', 'the', 'world', 'wa', 'deeply', 'in', 'the', 'grip', 'of', 'covid', 'and', 'chip', 'shortage', 'meant', 'that', 'stock', 'of', 'common', 'electronics', 'were', 'in', 'short', 'supply', 'including', 'the', 'raspberry', 'pi', 'char']"
"['we', 'cant', 'build', 'our', 'way', 'out', 'of', 'the', 'capacity', 'issue', 'in', 'the', 'health', 'service']","['we', 'must', 'stop', 'viewing', 'health', 'a', 'a', 'cost', 'to', 'be', 'managed', 'and', 'instead', 'understand', 'it', 'a', 'an', 'investment', 'to', 'be', 'made']","['a', 'the', 'political', 'focus', 'move', 'beyond', 'the', 'election', 'campaign', 'and', 'into', 'government', 'formation', 'and', 'negotiation', 'of', 'a', 'programme', 'for', 'that', 'government', 'the', 'focus', 'in', 'the', 'healthcare', 'system', 'turn', 'towards', 'winter', 'pre', 'char']"
"['human', 'right', 'are', 'about', 'building', 'the', 'future', 'right', 'now', 'say', 'secretarygeneral', 'marking', 'international', 'day']","['following', 'is', 'un', 'secretarygeneral', 'antnio', 'guterres', 'message', 'for', 'human', 'right', 'day', 'observed', 'on', 'december']","['following', 'is', 'un', 'secretarygeneral', 'antnio', 'guterres', 'message', 'for', 'human', 'right', 'day', 'observed', 'on', 'december', 'on', 'human', 'right', 'day', 'we', 'face', 'a', 'harsh', 'truth', 'human', 'right', 'are', 'under', 'assault', 'ten', 'of', 'millio', 'char']"
"['market', 'slide', 'in', 'octobernovember', 'further', 'trim', 'np', 'equity', 'gain', 'annual', 'return', 'moderate']","['although', 'average', 'annual', 'equity', 'scheme', 'return', 'moderated', 'since', 'end', 'september', 'it', 'wa', 'much', 'higher', 'than', 'the', 'in', 'central', 'government', 'scheme', 'and', 'in', 'state', 'government', 'scheme']","['the', 'recent', 'slide', 'in', 'benchmark', 'equity', 'index', 'in', 'octobernovember', 'ha', 'further', 'pulled', 'down', 'the', 'average', 'annual', 'return', 'on', 'np', 'monies', 'parked', 'in', 'equity', 'scheme', 'to', 'per', 'cent', 'a', 'of', 'november', 'lates', 'char']"
"['hut', 'operation', 'update', 'for', 'november']","['ehs', 'and', 'mw', 'under', 'management', 'in', 'mining', 'with', 'path', 'to', 'ehs', 'miami', 'dec', 'globe', 'newswire', 'hut', 'corp', 'nasdaq', 'tsx', 'hut', 'hut', 'or', 'the', 'company', 'a', 'leading', 'vertically', 'integrated', 'operator', 'of', 'largescale', 'energy', 'infrastructure', 'and', 'one']","['ehs', 'and', 'mw', 'under', 'management', 'in', 'mining', 'with', 'path', 'to', 'ehs', 'miami', 'dec', 'globe', 'newswire', 'hut', 'corp', 'nasdaq', 'tsx', 'hut', 'hut', 'or', 'the', 'company', 'a', 'leading', 'vertically', 'integrate', 'char']"
"['hut', 'operation', 'update', 'for', 'november']","['hut', 'a', 'vertically', 'integrated', 'operator', 'of', 'largescale', 'energy', 'infrastructure', 'and', 'bitcoin', 'miner', 'today', 'released', 'it', 'operation', 'update', 'for', 'november']","['ehs', 'and', 'mw', 'under', 'management', 'in', 'mining', 'with', 'path', 'to', 'ehs', 'miami', 'dec', 'globe', 'newswire', 'hut', 'corp', 'nasdaq', 'tsx', 'hut', 'hut', 'or', 'the', 'company', 'a', 'leading', 'vertically', 'integr', 'char']"
"['enhancing', 'green', 'supplier', 'selection', 'a', 'nonlinear', 'programming', 'method', 'with', 'topsis', 'in', 'cubic', 'pythagorean', 'fuzzy', 'context']","['the', 'advancement', 'in', 'information', 'and', 'communication', 'technology', 'have', 'given', 'rise', 'to', 'innovative', 'development', 'such', 'a', 'cloud', 'computing', 'the', 'internet', 'of', 'thing', 'big', 'data', 'analytics', 'and', 'artificial', 'intelligence', 'these', 'technology', 'have', 'been', 'integrated', 'into', 'production']","['abstract', 'the', 'advancement', 'in', 'information', 'and', 'communication', 'technology', 'have', 'given', 'rise', 'to', 'innovative', 'development', 'such', 'a', 'cloud', 'computing', 'the', 'internet', 'of', 'thing', 'big', 'data', 'analytics', 'and', 'artificial', 'char']"
"['impact', 'of', 'the', 'covid', 'pandemic', 'on', 'the', 'national', 'telehealth', 'service', 'for', 'triage', 'and', 'referral', 'in', 'sweden', 'a', 'national', 'retrospective', 'observational', 'study']","['objective', 'telehealth', 'the', 'provision', 'of', 'healthcare', 'through', 'digital', 'communication', 'ha', 'been', 'proposed', 'a', 'a', 'potential', 'solution', 'to', 'meet', 'the', 'increasing', 'demand', 'for', 'healthcare', 'particularly', 'in', 'the', 'setting', 'of', 'the', 'covid', 'pandemic', 'sweden', 'ha', 'an', 'established', 'national']","['introduction', 'the', 'covid', 'pandemic', 'posed', 'significant', 'challenge', 'to', 'healthcare', 'system', 'around', 'the', 'world', 'healthcare', 'provider', 'had', 'to', 'manage', 'patient', 'with', 'the', 'new', 'covid', 'disease', 'with', 'rigorous', 'safety', 'char']"
"['trump', 'used', 'forceful', 'hand', 'to', 'oust', 'dea', 'pick', 'after', 'hearing', 'concern', 'about', 'his', 'arrest', 'of', 'pastor']","['presidentelect', 'donald', 'trump', 'used', 'a', 'forceful', 'hand', 'to', 'get', 'his', 'drug', 'enforcement', 'agency', 'pick', 'to', 'drop', 'out', 'on', 'tuesday', 'after', 'hearing', 'concern', 'about', 'the', 'floridian', 'record', 'source', 'familiar', 'told', 'the', 'post', 'leading', 'outgoing', 'rep', 'anthony', 'desposito', 'rny', 'to', 'make']","['skip', 'to', 'comment', 'trump', 'used', 'forceful', 'hand', 'to', 'oust', 'dea', 'pick', 'after', 'hearing', 'concern', 'about', 'his', 'arrest', 'of', 'pastorthe', 'new', 'york', 'post', 'diana', 'glebova', 'posted', 'on', 'am', 'p', 'char']"
"['video', 'rep', 'don', 'beyer', 'dva', 'protect', 'our', 'care', 'virginia', 'healthcare', 'advocate', 'rip', 'rfk', 'jr', 'a', 'fueled', 'by', 'conspiracy', 'theory', 'and', 'lie', 'existential', 'threat', 'to', 'our', 'health', 'care', 'making', 'polio', 'great', 'again', 'etc']","['video', 'rep', 'don', 'beyer', 'dva', 'protect', 'our', 'care', 'virginia', 'healthcare', 'advocate', 'rip', 'rfk', 'jr', 'a', 'fueled', 'by', 'conspiracy', 'theory', 'and', 'lie', 'existential', 'threat', 'to', 'our', 'health', 'care', 'making', 'polio', 'great', 'again', 'etcbluevirginiaus']","['a', 'few', 'minute', 'ago', 'protect', 'our', 'care', 'virginia', 'held', 'a', 'press', 'conference', 'at', 'which', 'rep', 'don', 'beyer', 'va', 'and', 'health', 'care', 'advocate', 'sounded', 'the', 'alarm', 'on', 'donald', 'trump', 'nomination', 'of', 'robert', 'f', 'kennedy', 'jr', 'char']"
"['question', 'about', 'pandemic', 'preparedness']","['the', 'theme', 'at', 'sbm', 'this', 'week', 'is', 'question', 'for', 'trump', 'nominee', 'for', 'key', 'health', 'position', 'within', 'the', 'federal', 'government', 'david', 'got', 'the', 'ball', 'rolling', 'with', 'an', 'excellent', 'summary', 'of', 'the', 'nominee', 'and', 'question', 'for', 'each', 'jonathan', 'followed', 'up', 'with', 'his', 'own', 'list', 'of', 'questio']","['the', 'theme', 'at', 'sbm', 'this', 'week', 'is', 'question', 'for', 'trump', 'nominee', 'for', 'key', 'health', 'position', 'within', 'the', 'federal', 'government', 'david', 'got', 'the', 'ball', 'rolling', 'with', 'an', 'excellent', 'summary', 'of', 'the', 'nominee', 'and', 'question', 'char']"
"['should', 'be', 'disqualified', 'conservative', 'slam', 'trump', 'dea', 'pick', 'chad', 'chronister', 'for', 'being', 'a', 'woke', 'democrat', 'donor', 'provaccine', 'tyrant', 'who', 'arrested', 'a', 'pastor', 'during', 'covid']","['donald', 'trump', 'recent', 'announcement', 'of', 'sheriff', 'chad', 'chronister', 'a', 'his', 'nominee', 'for', 'drug', 'enforcement', 'administration', 'dea', 'administrator', 'ha', 'sparked', 'a', 'fierce', 'backlash', 'among', 'conservative', 'who', 'are', 'raising', 'serious', 'concern', 'about', 'chronisters', 'record', 'particularly', 'hi']","['skip', 'to', 'comment', 'should', 'be', 'disqualified', 'conservative', 'slam', 'trump', 'dea', 'pick', 'chad', 'chronister', 'for', 'being', 'a', 'woke', 'democrat', 'donor', 'provaccine', 'tyrant', 'who', 'arrested', 'a', 'pastor', 'during', 'covidgateway', 'pundit', 'char']"
"['show', 'hn', 'chronos', 'timeline', 'interactive', 'timeline', 'from', 'markdown', 'in', 'your', 'note']","['an', 'obsidian', 'plugin', 'powered', 'by', 'visjs', 'and', 'openaicreate', 'portable', 'interactive', 'timeline', 'to', 'make', 'time', 'make', 'senseyou', 'can', 'also', 'do', 'texttotimeline', 'with', 'aiinstall', 'for', 'free', 'here', 'comment', 'url']","['render', 'interactive', 'timeline', 'in', 'your', 'obsidian', 'note', 'from', 'simple', 'markdown', 'make', 'time', 'make', 'sense', 'powered', 'by', 'the', 'vistimeline', 'library', 'create', 'timeline', 'in', 'your', 'note', 'by', 'opening', 'a', 'chronos', 'codeblock', 'an', 'char']"
"['chemist', 'warehouse', 'cashback', 'capped', 'at', 'one', 'transaction', 'only', 'per', 'member', 'am', 'to', 'pm', 'aedt', 'topcashback']","['i', 'reached', 'out', 'to', 'ta', 'and', 'asked', 'him', 'for', 'a', 'hot', 'deal', 'and', 'this', 'one', 'certainly', 'beat', 'all', 'that', 'of', 'the', 'competition', 'make', 'sure', 'to', 'stack', 'with', 'the', 'extra', 'off', 'storewide', 'a', 'usual', 'be', 'sure', 'to', 'check', 'the', 'term', 'below', 'before', 'asking', 'your', 'question', 'in', 'the', 'comment', 'cashb']","['i', 'reached', 'out', 'to', 'ta', 'and', 'asked', 'him', 'for', 'a', 'hot', 'deal', 'and', 'this', 'one', 'certainly', 'beat', 'all', 'that', 'of', 'the', 'competition', 'make', 'sure', 'to', 'stack', 'with', 'the', 'extra', 'off', 'storewide', 'a', 'usual', 'be', 'sure', 'to', 'check', 'the', 'term', 'char']"
"['etihad', 'announces', 'new', 'international', 'route', 'one', 'is', 'a', 'new', 'u', 'route']","['a', 'few', 'week', 'ago', 'etihad', 'told', 'u', 'that', 'a', 'series', 'of', 'new', 'route', 'announcement', 'were', 'on', 'the', 'way', 'and', 'over', 'the', 'past', 'few', 'day', 'the', 'airline', 'ha', 'been', 'dropping', 'hint', 'a', 'to', 'what', 'these', 'new', 'route', 'will', 'be', 'today', 'the', 'new', 'route', 'have', 'been', 'announced', 'with', 'asia', 'being', 'the', 'main', 'be']","['travelingformilescom', 'may', 'receive', 'commission', 'from', 'card', 'issuer', 'some', 'or', 'all', 'of', 'the', 'card', 'offer', 'that', 'appear', 'on', 'travelingformilescom', 'are', 'from', 'advertiser', 'and', 'may', 'impact', 'how', 'and', 'where', 'card', 'product', 'app', 'char']"
['removed'],['removed'],['removed']
"['blue', 'state', 'worry', 'that', 'blocking', 'trump', 'will', 'be', 'tougher', 'this', 'time']","['during', 'the', 'early', 'day', 'of', 'donald', 'j', 'trump', 'first', 'presidency', 'lawyer', 'at', 'the', 'attorney', 'general', 'office', 'in', 'washington', 'state', 'would', 'gather', 'to', 'strategize', 'about', 'what', 'they', 'saw', 'a', 'troubling', 'directive', 'being', 'handed', 'down', 'by', 'the', 'white', 'housethere', 'were', 'order', 'barring', 'tra']","['skip', 'to', 'comment', 'blue', 'state', 'worry', 'that', 'blocking', 'trump', 'will', 'be', 'tougher', 'this', 'timethe', 'new', 'york', 'time', 'nov', 'am', 'et', 'by', 'mike', 'baker', 'shawn', 'hubler', 'posted', 'on', 'p', 'char']"
"['atlantic', 'city', 'casino', 'earnings', 'fall', 'nearly', 'in', 'rd', 'quarter']","['atlantic', 'city', 'casino', 'saw', 'their', 'operating', 'profit', 'decline', 'by', 'nearly', 'in', 'the', 'third', 'quarter', 'of', 'this', 'year']","['atlantic', 'city', 'nj', 'atlantic', 'city', 'casino', 'saw', 'their', 'operating', 'profit', 'decline', 'by', 'nearly', 'in', 'the', 'third', 'quarter', 'of', 'this', 'year', 'figure', 'released', 'friday', 'by', 'new', 'jersey', 'gambling', 'regulator', 'show', 'th', 'char']"
"['correction', 'urtica', 'dioica', 'agglutinin', 'a', 'plant', 'protein', 'candidate', 'for', 'inhibition', 'of', 'sarscov', 'receptorbinding', 'domain', 'for', 'control', 'of', 'covid', 'infection']",[],"['there', 'are', 'error', 'in', 'the', 'author', 'contribution', 'the', 'correct', 'contribution', 'are', 'formal', 'analysis', 'fatemeh', 'sabzianmolaei', 'investigation', 'fatemeh', 'sabzianmolaei', 'mohammad', 'ali', 'nasiri', 'khalili', 'mohammad', 'sa', 'char']"
"['laptop', 'class', 'doctor', 'think', 'doctor', 'who', 'treat', 'patient', 'are', 'lazy', 'dumb', 'cowardly', 'sheep']","['had', 'laptop', 'class', 'doctor', 'been', 'willing', 'to', 'listen', 'to', 'doctor', 'who', 'worked', 'on', 'covid', 'unit', 'they', 'wouldnt', 'have', 'said', 'so', 'many', 'absurd', 'thing', 'the', 'post', 'laptop', 'class', 'doctor', 'think', 'doctor', 'who', 'treat', 'patient', 'are', 'lazy', 'dumb', 'cowardly', 'sheep', 'first', 'appeared', 'on', 'sciencebased']","['a', 'legend', 'at', 'a', 'brooklyn', 'hospital', 'dy', 'of', 'covid', 'he', 'ran', 'into', 'the', 'fire', 'being', 'a', 'frontline', 'healthcare', 'worker', 'wa', 'just', 'one', 'of', 'way', 'in', 'which', 'people', 'made', 'crucial', 'pandemic', 'contribution', 'it', 'wa', 'n', 'char']"
"['national', 'covid', 'vaccination', 'rate', 'less', 'than', 'percent', 'cdc', 'survey']","['just', 'percent', 'of', 'u', 'adult', 'have', 'gotten', 'a', 'covid', 'vaccine', 'and', 'percent', 'have', 'received', 'an', 'influenza', 'vaccine', 'during', 'the', 'respiratory', 'disease', 'season', 'according', 'to', 'a', 'new', 'report', 'from', 'the', 'center', 'for', 'disease', 'control', 'and', 'prevention', 'cdc', 'the', 'report']","['skip', 'to', 'comment', 'national', 'covid', 'vaccination', 'rate', 'less', 'than', 'percent', 'cdc', 'surveythe', 'hill', 'alejandra', 'oconnelldomenech', 'posted', 'on', 'pm', 'pst', 'by', 'chicagoconserva', 'char']"
"['association', 'of', 'tobacco', 'purchasing', 'behavior', 'with', 'tobacco', 'use', 'by', 'user', 'group', 'during', 'the', 'covid', 'pandemic', 'a', 'mixed', 'method', 'analysis']","['purpose', 'to', 'understand', 'change', 'in', 'purchasing', 'behavior', 'and', 'use', 'of', 'tobacco', 'product', 'such', 'a', 'ecigarettes', 'and', 'cigarette', 'among', 'different', 'tobacco', 'user', 'group', 'during', 'the', 'covid', 'pandemic', 'using', 'a', 'mixed', 'method', 'approach', 'method', 'a', 'quantitative', 'online', 'survey', 'wa', 'c']","['abstract', 'purpose', 'to', 'understand', 'change', 'in', 'purchasing', 'behavior', 'and', 'use', 'of', 'tobacco', 'product', 'such', 'a', 'ecigarettes', 'and', 'cigarette', 'among', 'different', 'tobacco', 'user', 'group', 'during', 'the', 'covid', 'pandemic', 'using', 'char']"
"['impact', 'of', 'the', 'covid', 'pandemic', 'on', 'intrahousehold', 'gender', 'disparity', 'in', 'the', 'middle', 'east', 'and', 'north', 'africa', 'region', 'a', 'scoping', 'review', 'protocol']","['introduction', 'the', 'middle', 'east', 'and', 'north', 'africa', 'mena', 'is', 'a', 'global', 'outlier', 'both', 'for', 'it', 'low', 'female', 'labor', 'force', 'participation', 'and', 'investment', 'in', 'early', 'childhood', 'development', 'service', 'and', 'consistently', 'rank', 'lowest', 'on', 'global', 'ranking', 'of', 'gender', 'parity', 'while', 'the', 'imp']","['abstract', 'introduction', 'the', 'middle', 'east', 'and', 'north', 'africa', 'mena', 'is', 'a', 'global', 'outlier', 'both', 'for', 'it', 'low', 'female', 'labor', 'force', 'participation', 'and', 'investment', 'in', 'early', 'childhood', 'development', 'service', 'and', 'consi', 'char']"
"['covidrelated', 'research', 'data', 'availability', 'and', 'quality', 'according', 'to', 'the', 'fair', 'principle', 'a', 'metaresearch', 'study']","['background', 'according', 'to', 'the', 'fair', 'principle', 'findable', 'accessible', 'interoperable', 'and', 'reusable', 'scientific', 'research', 'data', 'should', 'be', 'findable', 'accessible', 'interoperable', 'and', 'reusable', 'the', 'covid', 'pandemic', 'ha', 'led', 'to', 'massive', 'research', 'activity', 'and', 'an', 'unpreced']","['abstract', 'background', 'according', 'to', 'the', 'fair', 'principle', 'findable', 'accessible', 'interoperable', 'and', 'reusable', 'scientific', 'research', 'data', 'should', 'be', 'findable', 'accessible', 'interoperable', 'and', 'reusable', 'the', 'c', 'char']"
"['singapore', 'oil', 'tycoon', 'ok', 'lim', 'sentenced', 'to', 'year', 'jail']","['a', 'singapore', 'court', 'ha', 'sentenced', 'oil', 'tycoon', 'lim', 'oon', 'kuin', 'to', 'andhalf', 'year', 'in', 'jail', 'for', 'cheating', 'hsbc', 'holding', 'plc', 'and', 'instigating', 'forgery', 'in', 'a', 'case', 'that', 'ha', 'shaken', 'the', 'citystates', 'commoditytrading', 'community']","['a', 'singapore', 'court', 'ha', 'sentenced', 'oil', 'tycoon', 'lim', 'oon', 'kuin', 'to', 'andhalf', 'year', 'in', 'jail', 'for', 'cheating', 'hsbc', 'holding', 'plc', 'and', 'instigating', 'forgery', 'in', 'a', 'case', 'that', 'ha', 'shaken', 'the', 'citystates', 'commoditytradin', 'char']"
