title_stemmed,description_stemmed,content_stemmed
"['se', 'hundir', 'el', 'segundo', 'boom', 'de', 'trump']","['project', 'syndic', 'the', 'world', 'opinion', 'page']","['lisboa', 'qu', 'resultado', 'traer', 'para', 'la', 'economa', 'de', 'estado', 'unido', 'y', 'la', 'mundial', 'la', 'victoria', 'de', 'donald', 'trump', 'en', 'la', 'eleccin', 'presidenci', 'estadounidens', 'en', 'un', 'comentario', 'de', 'diciembr', 'de', 'titulado', 'char']"
"['exclus', 'what', 'ha', 'hh', 'withheld', 'on', 'covid', 'vax', 'sen', 'ron', 'johnson', 'is', 'about', 'to', 'find', 'out']","['a', 'new', 'letter', 'from', 'sen', 'ron', 'johnson', 'rwi', 'put', 'feder', 'health', 'agenc', 'on', 'notic', 'that', 'he', 'plan', 'to', 'subpoena', 'unredact', 'record', 'withheld', 'by', 'the', 'biden', 'administr', 'on', 'potenti', 'advers', 'effect', 'of', 'the', 'covid', 'vaccin', 'it', 'appear', 'that', 'even', 'in', 'the', 'wane', 'day']","['skip', 'to', 'comment', 'exclus', 'what', 'ha', 'hh', 'withheld', 'on', 'covid', 'vax', 'sen', 'ron', 'johnson', 'is', 'about', 'to', 'find', 'outdaili', 'signal', 'decemb', 'fred', 'luca', 'post', 'on', 'pm', 'pst', 'by', 'char']"
"['factor', 'associ', 'with', 'the', 'uptak', 'and', 'utilis', 'of', 'diabet', 'retinopathi', 'screen', 'servic', 'in', 'subsaharan', 'africa', 'a', 'scope', 'review']","['introduct', 'diabet', 'retinopathi', 'dr', 'is', 'a', 'microvascular', 'complic', 'of', 'chronic', 'diabet', 'that', 'can', 'lead', 'to', 'visual', 'impair', 'if', 'left', 'untreat', 'while', 'concert', 'effort', 'have', 'been', 'made', 'to', 'develop', 'screen', 'modal', 'to', 'facilit', 'the', 'earli', 'detect', 'of', 'diabet']","['citat', 'nwaoha', 'io', 'balibuno', 'aa', 'ibrahim', 'n', 'factor', 'associ', 'with', 'the', 'uptak', 'and', 'utilis', 'of', 'diabet', 'retinopathi', 'screen', 'servic', 'in', 'subsaharan', 'africa', 'a', 'scope', 'review', 'plo', 'one', 'char']"
"['el', 'populismo', 'nunca', 'dura']","['project', 'syndic', 'the', 'world', 'opinion', 'page']","['washington', 'dc', 'comprend', 'el', 'regreso', 'del', 'populismo', 'es', 'crucial', 'para', 'dar', 'sentido', 'a', 'la', 'poltica', 'actual', 'esto', 'es', 'vlido', 'sobr', 'todo', 'en', 'estado', 'unido', 'tanto', 'para', 'el', 'president', 'electo', 'donald', 'trump', 'y', 'lo', 'co', 'char']"
"['sam', 'thursfield', 'statu', 'updat']","['it', 'been', 'an', 'interest', 'and', 'cold', 'month', 'so', 'far', 'i', 'made', 'a', 'success', 'trip', 'to', 'the', 'uk', 'one', 'of', 'the', 'first', 'time', 'ive', 'been', 'back', 'in', 'winter', 'and', 'avoid', 'be', 'expos', 'to', 'covid', 'sinc', 'the', 'pandem', 'so', 'that', 'a', 'step', 'forward', 'ive', 'been', 'think', 'a', 'lot', 'about', 'documenta']","['it', 'been', 'an', 'interest', 'and', 'cold', 'month', 'so', 'far', 'i', 'made', 'a', 'success', 'trip', 'to', 'the', 'uk', 'one', 'of', 'the', 'first', 'time', 'ive', 'been', 'back', 'in', 'winter', 'and', 'avoid', 'be', 'expos', 'to', 'covid', 'sinc', 'the', 'pandem', 'so', 'that', 'a', 'char']"
"['new', 'phsvp', 'collabor', 'cohort', 'of', 'cohort', 'for', 'covid', 'research', 'cr', 'jackson', 'heart', 'studi', 'jh']","['collabor', 'cohort', 'of', 'cohort', 'for', 'covid', 'research', 'cr', 'jackson', 'heart', 'studi', 'jh', 'studi', 'page', 'releas', 'note']","['advers', 'effect', 'of', 'the', 'coronaviru', 'diseas', 'covid', 'pandem', 'on', 'us', 'societi', 'health', 'and', 'economi', 'are', 'widespread', 'the', 'collabor', 'cohort', 'of', 'cohort', 'for', 'covid', 'research', 'cr', 'aim', 'to', 'advanc', 'o', 'char']"
"['biden', 'regim', 'quietli', 'extend', 'covid', 'emerg', 'declar', 'to', 'shield', 'big', 'pharma', 'and', 'mrna', 'vaccin', 'maker', 'from', 'liabil', 'until']","['the', 'biden', 'administr', 'ha', 'quietli', 'extend', 'a', 'controversi', 'emerg', 'declar', 'under', 'the', 'public', 'readi', 'and', 'emerg', 'prepared', 'prep', 'act', 'until', 'decemb', 'secretari', 'becerra', 'sign', 'the', 'th', 'amend', 'to', 'the', 'declar', 'under', 'the', 'prep', 'act']","['skip', 'to', 'comment', 'biden', 'regim', 'quietli', 'extend', 'covid', 'emerg', 'declar', 'to', 'shield', 'big', 'pharma', 'and', 'mrna', 'vaccin', 'maker', 'from', 'liabil', 'until', 'aspr', 'post', 'on', 'char']"
"['how', 'to', 'hack', 'plant', 'protein', 'for', 'muscl', 'build', 'how', 'littl', 'can', 'you', 'train', 'to', 'maintain', 'muscl', 'a', 'sauna', 'strategi', 'the', 'best', 'time', 'to', 'take', 'melatonin', 'more', 'solosod']","['listen', 'on', 'read', 'time', 'minut', 'what', 'i', 'discuss', 'the', 'rebrand', 'of', 'my', 'podcast', 'to', 'the', 'boundless', 'life', 'podcast', 'my', 'the', 'post', 'how', 'to', 'hack', 'plant', 'protein', 'for', 'muscl', 'build', 'how', 'littl', 'can', 'you', 'train', 'to', 'maintain', 'muscl', 'a', 'sauna', 'strategi', 'the', 'best', 'time', 'to', 'take']","['ben', 'greenfield', 'in', 'thi', 'episod', 'of', 'the', 'boundless', 'life', 'podcast', 'how', 'to', 'hack', 'plant', 'protein', 'for', 'muscl', 'build', 'how', 'littl', 'can', 'you', 'train', 'to', 'maintain', 'muscl', 'and', 'a', 'cool', 'sauna', 'strategi', 'the', 'be', 'char']"
"['qu', 'pasar', 'con', 'la', 'economa', 'china', 'en']","['project', 'syndic', 'the', 'world', 'opinion', 'page']","['beij', 'el', 'crecimiento', 'del', 'pib', 'de', 'china', 'se', 'fren', 'durant', 'lo', 'tre', 'primero', 'trimestr', 'de', 'pasando', 'del', 'al', 'y', 'luego', 'al', 'esto', 'hizo', 'temer', 'que', 'el', 'pa', 'no', 'alcanzara', 'su', 'objetivo', 'de', 'crecim', 'char']"
"['time', 'of', 'crise', 'ideolog', 'and', 'parti', 'system', 'transform', 'in', 'spain']","['campolongo', 'francesco', 'and', 'oliva', 'osuna', 'jo', 'javier', 'orcid', 'time', 'of', 'crise', 'ideolog', 'and', 'parti', 'system', 'transform', 'in', 'spain', 'partecipazion', 'e', 'conflitto', 'issn']","['campolongo', 'francesco', 'and', 'oliva', 'osuna', 'jo', 'javierorcid', 'time', 'of', 'crise', 'ideolog', 'and', 'parti', 'system', 'transform', 'in', 'spain', 'partecipazion', 'e', 'conflitto', 'issn', 'char']"
"['comput', 'programm', 'quit', 'after', 'hi', 'compani', 'tri', 'to', 'forc', 'him', 'to', 'work', 'from', 'the', 'offic', 'rather', 'than', 'home', 'so', 'when', 'the', 'ceo', 'ask', 'him', 'to', 'come', 'back', 'he', 'had', 'some', 'seriou', 'demand']","['he', 'must', 'have', 'been', 'a', 'top', 'tier', 'programm']","['the', 'covid', 'pandem', 'caus', 'mani', 'seriou', 'problem', 'but', 'for', 'mani', 'peopl', 'it', 'also', 'made', 'them', 'realiz', 'that', 'work', 'from', 'home', 'wa', 'wonder', 'what', 'would', 'you', 'do', 'if', 'your', 'boss', 'tri', 'to', 'make', 'you', 'return', 'to', 'the', 'o', 'char']"
"['mother', 'injur', 'in', 'covid', 'vaccin', 'trial', 'on', 'a', 'mission', 'to', 'help', 'other', 'amid', 'histor', 'court', 'case']","['it', 'realli', 'spiral', 'into', 'a', 'long', 'arduou', 'journey', 'of', 'learn', 'what', 'happen', 'when', 'big', 'corpor', 'interest', 'overtak', 'the', 'need', 'of', 'an', 'individu', 'said', 'briann', 'dressen', 'she', 'struggl', 'to', 'surviv', 'a', 'covid', 'vaccin', 'clinic', 'trial', 'but', 'briann', 'dressen', 'stori', 'led', 'to', 'a']","['skip', 'to', 'comment', 'mother', 'injur', 'in', 'covid', 'vaccin', 'trial', 'on', 'a', 'mission', 'to', 'help', 'other', 'amid', 'histor', 'court', 'casealpha', 'news', 'decemb', 'liz', 'collin', 'post', 'on', 'am', 'pst', 'by', 'char']"
"['raspberri', 'pi', 'review', 'the', 'keyboard', 'is', 'the', 'comput', 'again']","['it', 'may', 'look', 'like', 'the', 'raspberri', 'pi', 'but', 'thi', 'pi', 'cram', 'an', 'gb', 'raspberri', 'pi', 'into', 'a', 'keyboard', 'and', 'it', 'ha', 'great', 'thermal']","['when', 'the', 'raspberri', 'pi', 'wa', 'releas', 'the', 'world', 'wa', 'deepli', 'in', 'the', 'grip', 'of', 'covid', 'and', 'chip', 'shortag', 'meant', 'that', 'stock', 'of', 'common', 'electron', 'were', 'in', 'short', 'suppli', 'includ', 'the', 'raspberri', 'pi', 'char']"
"['we', 'cant', 'build', 'our', 'way', 'out', 'of', 'the', 'capac', 'issu', 'in', 'the', 'health', 'servic']","['we', 'must', 'stop', 'view', 'health', 'as', 'a', 'cost', 'to', 'be', 'manag', 'and', 'instead', 'understand', 'it', 'as', 'an', 'invest', 'to', 'be', 'made']","['as', 'the', 'polit', 'focu', 'move', 'beyond', 'the', 'elect', 'campaign', 'and', 'into', 'govern', 'format', 'and', 'negoti', 'of', 'a', 'programm', 'for', 'that', 'govern', 'the', 'focu', 'in', 'the', 'healthcar', 'system', 'turn', 'toward', 'winter', 'pre', 'char']"
"['human', 'right', 'are', 'about', 'build', 'the', 'futur', 'right', 'now', 'say', 'secretarygener', 'mark', 'intern', 'day']","['follow', 'is', 'un', 'secretarygener', 'antnio', 'guterr', 'messag', 'for', 'human', 'right', 'day', 'observ', 'on', 'decemb']","['follow', 'is', 'un', 'secretarygener', 'antnio', 'guterr', 'messag', 'for', 'human', 'right', 'day', 'observ', 'on', 'decemb', 'on', 'human', 'right', 'day', 'we', 'face', 'a', 'harsh', 'truth', 'human', 'right', 'are', 'under', 'assault', 'ten', 'of', 'millio', 'char']"
"['market', 'slide', 'in', 'octobernovemb', 'further', 'trim', 'np', 'equiti', 'gain', 'annual', 'return', 'moder']","['although', 'averag', 'annual', 'equiti', 'scheme', 'return', 'moder', 'sinc', 'end', 'septemb', 'it', 'wa', 'much', 'higher', 'than', 'the', 'in', 'central', 'govern', 'scheme', 'and', 'in', 'state', 'govern', 'scheme']","['the', 'recent', 'slide', 'in', 'benchmark', 'equiti', 'indic', 'in', 'octobernovemb', 'ha', 'further', 'pull', 'down', 'the', 'averag', 'annual', 'return', 'on', 'np', 'moni', 'park', 'in', 'equiti', 'scheme', 'to', 'per', 'cent', 'as', 'of', 'novemb', 'late', 'char']"
"['hut', 'oper', 'updat', 'for', 'novemb']","['eh', 'and', 'mw', 'under', 'manag', 'in', 'mine', 'with', 'path', 'to', 'eh', 'miami', 'dec', 'globe', 'newswir', 'hut', 'corp', 'nasdaq', 'tsx', 'hut', 'hut', 'or', 'the', 'compani', 'a', 'lead', 'vertic', 'integr', 'oper', 'of', 'largescal', 'energi', 'infrastructur', 'and', 'one']","['eh', 'and', 'mw', 'under', 'manag', 'in', 'mine', 'with', 'path', 'to', 'eh', 'miami', 'dec', 'globe', 'newswir', 'hut', 'corp', 'nasdaq', 'tsx', 'hut', 'hut', 'or', 'the', 'compani', 'a', 'lead', 'vertic', 'integr', 'char']"
"['hut', 'oper', 'updat', 'for', 'novemb']","['hut', 'a', 'vertic', 'integr', 'oper', 'of', 'largescal', 'energi', 'infrastructur', 'and', 'bitcoin', 'miner', 'today', 'releas', 'it', 'oper', 'updat', 'for', 'novemb']","['eh', 'and', 'mw', 'under', 'manag', 'in', 'mine', 'with', 'path', 'to', 'eh', 'miami', 'dec', 'globe', 'newswir', 'hut', 'corp', 'nasdaq', 'tsx', 'hut', 'hut', 'or', 'the', 'compani', 'a', 'lead', 'vertic', 'integr', 'char']"
"['enhanc', 'green', 'supplier', 'select', 'a', 'nonlinear', 'program', 'method', 'with', 'topsi', 'in', 'cubic', 'pythagorean', 'fuzzi', 'context']","['the', 'advanc', 'in', 'inform', 'and', 'commun', 'technolog', 'have', 'given', 'rise', 'to', 'innov', 'develop', 'such', 'as', 'cloud', 'comput', 'the', 'internet', 'of', 'thing', 'big', 'data', 'analyt', 'and', 'artifici', 'intellig', 'these', 'technolog', 'have', 'been', 'integr', 'into', 'product']","['abstract', 'the', 'advanc', 'in', 'inform', 'and', 'commun', 'technolog', 'have', 'given', 'rise', 'to', 'innov', 'develop', 'such', 'as', 'cloud', 'comput', 'the', 'internet', 'of', 'thing', 'big', 'data', 'analyt', 'and', 'artifici', 'char']"
"['impact', 'of', 'the', 'covid', 'pandem', 'on', 'the', 'nation', 'telehealth', 'servic', 'for', 'triag', 'and', 'referr', 'in', 'sweden', 'a', 'nation', 'retrospect', 'observ', 'studi']","['object', 'telehealth', 'the', 'provis', 'of', 'healthcar', 'through', 'digit', 'commun', 'ha', 'been', 'propos', 'as', 'a', 'potenti', 'solut', 'to', 'meet', 'the', 'increas', 'demand', 'for', 'healthcar', 'particularli', 'in', 'the', 'set', 'of', 'the', 'covid', 'pandem', 'sweden', 'ha', 'an', 'establish', 'nation']","['introduct', 'the', 'covid', 'pandem', 'pose', 'signific', 'challeng', 'to', 'healthcar', 'system', 'around', 'the', 'world', 'healthcar', 'provid', 'had', 'to', 'manag', 'patient', 'with', 'the', 'new', 'covid', 'diseas', 'with', 'rigor', 'safeti', 'char']"
"['trump', 'use', 'forc', 'hand', 'to', 'oust', 'dea', 'pick', 'after', 'hear', 'concern', 'about', 'hi', 'arrest', 'of', 'pastor']","['presidentelect', 'donald', 'trump', 'use', 'a', 'forc', 'hand', 'to', 'get', 'hi', 'drug', 'enforc', 'agenc', 'pick', 'to', 'drop', 'out', 'on', 'tuesday', 'after', 'hear', 'concern', 'about', 'the', 'floridian', 'record', 'sourc', 'familiar', 'told', 'the', 'post', 'lead', 'outgo', 'rep', 'anthoni', 'desposito', 'rni', 'to', 'make']","['skip', 'to', 'comment', 'trump', 'use', 'forc', 'hand', 'to', 'oust', 'dea', 'pick', 'after', 'hear', 'concern', 'about', 'hi', 'arrest', 'of', 'pastorth', 'new', 'york', 'post', 'diana', 'glebova', 'post', 'on', 'am', 'ps', 'char']"
"['video', 'rep', 'don', 'beyer', 'dva', 'protect', 'our', 'care', 'virginia', 'healthcar', 'advoc', 'rip', 'rfk', 'jr', 'as', 'fuel', 'by', 'conspiraci', 'theori', 'and', 'lie', 'existenti', 'threat', 'to', 'our', 'health', 'care', 'make', 'polio', 'great', 'again', 'etc']","['video', 'rep', 'don', 'beyer', 'dva', 'protect', 'our', 'care', 'virginia', 'healthcar', 'advoc', 'rip', 'rfk', 'jr', 'as', 'fuel', 'by', 'conspiraci', 'theori', 'and', 'lie', 'existenti', 'threat', 'to', 'our', 'health', 'care', 'make', 'polio', 'great', 'again', 'etcbluevirginiau']","['a', 'few', 'minut', 'ago', 'protect', 'our', 'care', 'virginia', 'held', 'a', 'press', 'confer', 'at', 'which', 'rep', 'don', 'beyer', 'va', 'and', 'health', 'care', 'advoc', 'sound', 'the', 'alarm', 'on', 'donald', 'trump', 'nomin', 'of', 'robert', 'f', 'kennedi', 'jr', 'char']"
"['question', 'about', 'pandem', 'prepared']","['the', 'theme', 'at', 'sbm', 'thi', 'week', 'is', 'question', 'for', 'trump', 'nomine', 'for', 'key', 'health', 'posit', 'within', 'the', 'feder', 'govern', 'david', 'got', 'the', 'ball', 'roll', 'with', 'an', 'excel', 'summari', 'of', 'the', 'nomine', 'and', 'question', 'for', 'each', 'jonathan', 'follow', 'up', 'with', 'hi', 'own', 'list', 'of', 'questio']","['the', 'theme', 'at', 'sbm', 'thi', 'week', 'is', 'question', 'for', 'trump', 'nomine', 'for', 'key', 'health', 'posit', 'within', 'the', 'feder', 'govern', 'david', 'got', 'the', 'ball', 'roll', 'with', 'an', 'excel', 'summari', 'of', 'the', 'nomine', 'and', 'question', 'char']"
"['should', 'be', 'disqualifi', 'conserv', 'slam', 'trump', 'dea', 'pick', 'chad', 'chronist', 'for', 'be', 'a', 'woke', 'democrat', 'donor', 'provaccin', 'tyrant', 'who', 'arrest', 'a', 'pastor', 'dure', 'covid']","['donald', 'trump', 'recent', 'announc', 'of', 'sheriff', 'chad', 'chronist', 'as', 'hi', 'nomine', 'for', 'drug', 'enforc', 'administr', 'dea', 'administr', 'ha', 'spark', 'a', 'fierc', 'backlash', 'among', 'conserv', 'who', 'are', 'rais', 'seriou', 'concern', 'about', 'chronist', 'record', 'particularli', 'hi']","['skip', 'to', 'comment', 'should', 'be', 'disqualifi', 'conserv', 'slam', 'trump', 'dea', 'pick', 'chad', 'chronist', 'for', 'be', 'a', 'woke', 'democrat', 'donor', 'provaccin', 'tyrant', 'who', 'arrest', 'a', 'pastor', 'dure', 'covidgateway', 'pundit', 'char']"
"['show', 'hn', 'chrono', 'timelin', 'interact', 'timelin', 'from', 'markdown', 'in', 'your', 'note']","['an', 'obsidian', 'plugin', 'power', 'by', 'visj', 'and', 'openaicr', 'portabl', 'interact', 'timelin', 'to', 'make', 'time', 'make', 'sensey', 'can', 'also', 'do', 'texttotimelin', 'with', 'aiinstal', 'for', 'free', 'here', 'comment', 'url']","['render', 'interact', 'timelin', 'in', 'your', 'obsidian', 'note', 'from', 'simpl', 'markdown', 'make', 'time', 'make', 'sens', 'power', 'by', 'the', 'vistimelin', 'librari', 'creat', 'timelin', 'in', 'your', 'note', 'by', 'open', 'a', 'chrono', 'codeblock', 'an', 'char']"
"['chemist', 'warehous', 'cashback', 'cap', 'at', 'one', 'transact', 'onli', 'per', 'member', 'am', 'to', 'pm', 'aedt', 'topcashback']","['i', 'reach', 'out', 'to', 'ta', 'and', 'ask', 'him', 'for', 'a', 'hot', 'deal', 'and', 'thi', 'one', 'certainli', 'beat', 'all', 'that', 'of', 'the', 'competit', 'make', 'sure', 'to', 'stack', 'with', 'the', 'extra', 'off', 'storewid', 'as', 'usual', 'be', 'sure', 'to', 'check', 'the', 'term', 'below', 'befor', 'ask', 'your', 'question', 'in', 'the', 'comment', 'cashb']","['i', 'reach', 'out', 'to', 'ta', 'and', 'ask', 'him', 'for', 'a', 'hot', 'deal', 'and', 'thi', 'one', 'certainli', 'beat', 'all', 'that', 'of', 'the', 'competit', 'make', 'sure', 'to', 'stack', 'with', 'the', 'extra', 'off', 'storewid', 'as', 'usual', 'be', 'sure', 'to', 'check', 'the', 'term', 'char']"
"['etihad', 'announc', 'new', 'intern', 'rout', 'one', 'is', 'a', 'new', 'us', 'rout']","['a', 'few', 'week', 'ago', 'etihad', 'told', 'us', 'that', 'a', 'seri', 'of', 'new', 'rout', 'announc', 'were', 'on', 'the', 'way', 'and', 'over', 'the', 'past', 'few', 'day', 'the', 'airlin', 'ha', 'been', 'drop', 'hint', 'as', 'to', 'what', 'these', 'new', 'rout', 'will', 'be', 'today', 'the', 'new', 'rout', 'have', 'been', 'announc', 'with', 'asia', 'be', 'the', 'main', 'be']","['travelingformilescom', 'may', 'receiv', 'commiss', 'from', 'card', 'issuer', 'some', 'or', 'all', 'of', 'the', 'card', 'offer', 'that', 'appear', 'on', 'travelingformilescom', 'are', 'from', 'advertis', 'and', 'may', 'impact', 'how', 'and', 'where', 'card', 'product', 'app', 'char']"
['remov'],['remov'],['remov']
"['blue', 'state', 'worri', 'that', 'block', 'trump', 'will', 'be', 'tougher', 'thi', 'time']","['dure', 'the', 'earli', 'day', 'of', 'donald', 'j', 'trump', 'first', 'presid', 'lawyer', 'at', 'the', 'attorney', 'gener', 'offic', 'in', 'washington', 'state', 'would', 'gather', 'to', 'strateg', 'about', 'what', 'they', 'saw', 'as', 'troubl', 'direct', 'be', 'hand', 'down', 'by', 'the', 'white', 'housether', 'were', 'order', 'bar', 'tra']","['skip', 'to', 'comment', 'blue', 'state', 'worri', 'that', 'block', 'trump', 'will', 'be', 'tougher', 'thi', 'timeth', 'new', 'york', 'time', 'nov', 'am', 'et', 'by', 'mike', 'baker', 'shawn', 'hubler', 'post', 'on', 'p', 'char']"
"['atlant', 'citi', 'casino', 'earn', 'fall', 'nearli', 'in', 'rd', 'quarter']","['atlant', 'citi', 'casino', 'saw', 'their', 'oper', 'profit', 'declin', 'by', 'nearli', 'in', 'the', 'third', 'quarter', 'of', 'thi', 'year']","['atlant', 'citi', 'nj', 'atlant', 'citi', 'casino', 'saw', 'their', 'oper', 'profit', 'declin', 'by', 'nearli', 'in', 'the', 'third', 'quarter', 'of', 'thi', 'year', 'figur', 'releas', 'friday', 'by', 'new', 'jersey', 'gambl', 'regul', 'show', 'th', 'char']"
"['correct', 'urtica', 'dioica', 'agglutinin', 'a', 'plant', 'protein', 'candid', 'for', 'inhibit', 'of', 'sarscov', 'receptorbind', 'domain', 'for', 'control', 'of', 'covid', 'infect']",[],"['there', 'are', 'error', 'in', 'the', 'author', 'contribut', 'the', 'correct', 'contribut', 'are', 'formal', 'analysi', 'fatemeh', 'sabzianmolaei', 'investig', 'fatemeh', 'sabzianmolaei', 'mohammad', 'ali', 'nasiri', 'khalili', 'mohammad', 'sa', 'char']"
"['laptop', 'class', 'doctor', 'think', 'doctor', 'who', 'treat', 'patient', 'are', 'lazi', 'dumb', 'cowardli', 'sheep']","['had', 'laptop', 'class', 'doctor', 'been', 'will', 'to', 'listen', 'to', 'doctor', 'who', 'work', 'on', 'covid', 'unit', 'they', 'wouldnt', 'have', 'said', 'so', 'mani', 'absurd', 'thing', 'the', 'post', 'laptop', 'class', 'doctor', 'think', 'doctor', 'who', 'treat', 'patient', 'are', 'lazi', 'dumb', 'cowardli', 'sheep', 'first', 'appear', 'on', 'sciencebas']","['a', 'legend', 'at', 'a', 'brooklyn', 'hospit', 'die', 'of', 'covid', 'he', 'ran', 'into', 'the', 'fire', 'be', 'a', 'frontlin', 'healthcar', 'worker', 'wa', 'just', 'one', 'of', 'way', 'in', 'which', 'peopl', 'made', 'crucial', 'pandem', 'contribut', 'it', 'wa', 'n', 'char']"
"['nation', 'covid', 'vaccin', 'rate', 'less', 'than', 'percent', 'cdc', 'survey']","['just', 'percent', 'of', 'us', 'adult', 'have', 'gotten', 'a', 'covid', 'vaccin', 'and', 'percent', 'have', 'receiv', 'an', 'influenza', 'vaccin', 'dure', 'the', 'respiratori', 'diseas', 'season', 'accord', 'to', 'a', 'new', 'report', 'from', 'the', 'center', 'for', 'diseas', 'control', 'and', 'prevent', 'cdc', 'the', 'report']","['skip', 'to', 'comment', 'nation', 'covid', 'vaccin', 'rate', 'less', 'than', 'percent', 'cdc', 'surveyth', 'hill', 'alejandra', 'oconnelldomenech', 'post', 'on', 'pm', 'pst', 'by', 'chicagoconserva', 'char']"
"['associ', 'of', 'tobacco', 'purchas', 'behavior', 'with', 'tobacco', 'use', 'by', 'user', 'group', 'dure', 'the', 'covid', 'pandem', 'a', 'mix', 'method', 'analysi']","['purpos', 'to', 'understand', 'chang', 'in', 'purchas', 'behavior', 'and', 'use', 'of', 'tobacco', 'product', 'such', 'as', 'ecigarett', 'and', 'cigarett', 'among', 'differ', 'tobacco', 'user', 'group', 'dure', 'the', 'covid', 'pandem', 'use', 'a', 'mix', 'method', 'approach', 'method', 'a', 'quantit', 'onlin', 'survey', 'wa', 'c']","['abstract', 'purpos', 'to', 'understand', 'chang', 'in', 'purchas', 'behavior', 'and', 'use', 'of', 'tobacco', 'product', 'such', 'as', 'ecigarett', 'and', 'cigarett', 'among', 'differ', 'tobacco', 'user', 'group', 'dure', 'the', 'covid', 'pandem', 'use', 'char']"
"['impact', 'of', 'the', 'covid', 'pandem', 'on', 'intrahousehold', 'gender', 'dispar', 'in', 'the', 'middl', 'east', 'and', 'north', 'africa', 'region', 'a', 'scope', 'review', 'protocol']","['introduct', 'the', 'middl', 'east', 'and', 'north', 'africa', 'mena', 'is', 'a', 'global', 'outlier', 'both', 'for', 'it', 'low', 'femal', 'labor', 'forc', 'particip', 'and', 'invest', 'in', 'earli', 'childhood', 'develop', 'servic', 'and', 'consist', 'rank', 'lowest', 'on', 'global', 'rank', 'of', 'gender', 'pariti', 'while', 'the', 'imp']","['abstract', 'introduct', 'the', 'middl', 'east', 'and', 'north', 'africa', 'mena', 'is', 'a', 'global', 'outlier', 'both', 'for', 'it', 'low', 'femal', 'labor', 'forc', 'particip', 'and', 'invest', 'in', 'earli', 'childhood', 'develop', 'servic', 'and', 'consi', 'char']"
"['covidrel', 'research', 'data', 'avail', 'and', 'qualiti', 'accord', 'to', 'the', 'fair', 'principl', 'a', 'metaresearch', 'studi']","['background', 'accord', 'to', 'the', 'fair', 'principl', 'findabl', 'access', 'interoper', 'and', 'reusabl', 'scientif', 'research', 'data', 'should', 'be', 'findabl', 'access', 'interoper', 'and', 'reusabl', 'the', 'covid', 'pandem', 'ha', 'led', 'to', 'massiv', 'research', 'activ', 'and', 'an', 'unprec']","['abstract', 'background', 'accord', 'to', 'the', 'fair', 'principl', 'findabl', 'access', 'interoper', 'and', 'reusabl', 'scientif', 'research', 'data', 'should', 'be', 'findabl', 'access', 'interoper', 'and', 'reusabl', 'the', 'c', 'char']"
"['singapor', 'oil', 'tycoon', 'ok', 'lim', 'sentenc', 'to', 'year', 'jail']","['a', 'singapor', 'court', 'ha', 'sentenc', 'oil', 'tycoon', 'lim', 'oon', 'kuin', 'to', 'andhalf', 'year', 'in', 'jail', 'for', 'cheat', 'hsbc', 'hold', 'plc', 'and', 'instig', 'forgeri', 'in', 'a', 'case', 'that', 'ha', 'shaken', 'the', 'cityst', 'commoditytrad', 'commun']","['a', 'singapor', 'court', 'ha', 'sentenc', 'oil', 'tycoon', 'lim', 'oon', 'kuin', 'to', 'andhalf', 'year', 'in', 'jail', 'for', 'cheat', 'hsbc', 'hold', 'plc', 'and', 'instig', 'forgeri', 'in', 'a', 'case', 'that', 'ha', 'shaken', 'the', 'cityst', 'commoditytradin', 'char']"
